"customer_id","last_purchase","frequency","monetary","r_score","f_score","m_score","segment"
18102.0,"2011-12-09 11:50:00",145,608821.65,1,4,4,"Lost"
14646.0,"2011-12-08 12:12:00",151,528602.52,1,4,4,"Lost"
14156.0,"2011-11-30 10:54:00",156,313946.37,1,4,4,"Lost"
14911.0,"2011-12-08 15:54:00",398,295972.63,1,4,4,"Lost"
17450.0,"2011-12-01 13:29:00",51,246973.09,1,4,4,"Lost"
13694.0,"2011-12-06 09:32:00",143,196482.81,1,4,4,"Lost"
17511.0,"2011-12-07 10:12:00",60,175603.55,1,4,4,"Lost"
16446.0,"2011-12-09 09:15:00",2,168472.50,1,2,4,"Lost"
16684.0,"2011-12-05 14:06:00",55,147142.77,1,4,4,"Lost"
12415.0,"2011-11-15 14:22:00",28,144458.37,1,4,4,"Lost"
15061.0,"2011-12-06 12:06:00",127,137818.52,1,4,4,"Lost"
16029.0,"2011-11-01 10:27:00",107,122209.14,2,4,4,"At risk"
17949.0,"2011-12-08 18:46:00",118,118628.08,1,4,4,"Lost"
15311.0,"2011-12-09 12:00:00",208,116771.16,1,4,4,"Lost"
13089.0,"2011-12-07 09:02:00",203,116737.86,1,4,4,"Lost"
12931.0,"2011-11-18 12:39:00",57,92347.34,1,4,4,"Lost"
14298.0,"2011-12-01 13:12:00",82,91194.49,1,4,4,"Lost"
15769.0,"2011-12-02 13:52:00",46,88704.32,1,4,4,"Lost"
12346.0,"2011-01-18 10:01:00",12,77556.46,3,4,4,"Loyal"
13798.0,"2011-12-08 15:51:00",110,75836.87,1,4,4,"Lost"
15838.0,"2011-11-28 14:00:00",34,74163.00,1,4,4,"Lost"
17841.0,"2011-12-08 12:07:00",211,70884.07,1,4,4,"Lost"
16754.0,"2010-12-02 17:38:00",29,67502.47,3,4,4,"Loyal"
14096.0,"2011-12-05 17:17:00",17,65164.79,1,4,4,"Lost"
14088.0,"2011-11-29 16:16:00",16,64036.80,1,4,4,"Lost"
16422.0,"2011-11-22 14:00:00",109,63651.47,1,4,4,"Lost"
13081.0,"2011-11-28 10:54:00",28,59205.15,1,4,4,"Lost"
16013.0,"2011-12-06 10:36:00",84,57446.44,1,4,4,"Lost"
14680.0,"2011-11-14 16:59:00",58,57412.77,1,4,4,"Lost"
17389.0,"2011-12-09 09:38:00",61,57224.68,1,4,4,"Lost"
17850.0,"2010-12-02 15:27:00",155,56600.08,3,4,4,"Loyal"
12748.0,"2011-12-09 12:20:00",336,56599.39,1,4,4,"Lost"
13777.0,"2011-12-09 12:25:00",61,56478.42,1,4,4,"Lost"
13093.0,"2011-03-09 12:14:00",55,54943.65,3,4,4,"Loyal"
13408.0,"2011-12-08 09:05:00",106,51733.46,1,4,4,"Lost"
17404.0,"2011-12-05 16:26:00",23,47781.12,1,4,4,"Lost"
13881.0,"2011-12-06 12:50:00",43,45179.10,1,4,4,"Lost"
15749.0,"2011-04-18 13:20:00",3,44534.30,3,3,4,"Loyal"
16705.0,"2011-12-09 12:08:00",42,43515.05,1,4,4,"Lost"
14031.0,"2011-12-02 17:13:00",44,40999.17,1,4,4,"Lost"
15039.0,"2011-11-30 11:31:00",93,40031.43,1,4,4,"Lost"
17381.0,"2011-12-01 11:59:00",38,40002.37,1,4,4,"Lost"
12471.0,"2011-12-07 15:43:00",79,39963.79,1,4,4,"Lost"
15098.0,"2011-06-10 15:33:00",3,39916.50,3,3,4,"Loyal"
16210.0,"2011-12-08 12:36:00",35,38489.51,1,4,4,"Lost"
17675.0,"2011-12-08 18:03:00",70,38259.60,1,4,4,"Lost"
17677.0,"2011-12-08 09:56:00",54,36692.91,1,4,4,"Lost"
12921.0,"2011-11-30 16:22:00",74,35921.04,1,4,4,"Lost"
13767.0,"2011-12-07 15:00:00",73,35540.53,1,4,4,"Lost"
12678.0,"2011-10-28 13:04:00",21,34281.18,2,4,4,"At risk"
15856.0,"2011-12-05 17:09:00",52,34220.34,1,4,4,"Lost"
13902.0,"2010-03-17 13:09:00",5,34095.26,4,3,4,"Champion"
16779.0,"2011-12-07 14:54:00",53,33268.24,1,4,4,"Lost"
14258.0,"2011-11-30 15:27:00",25,32051.34,1,4,4,"Lost"
17428.0,"2011-12-09 09:45:00",45,31819.76,1,4,4,"Lost"
12709.0,"2011-11-24 15:38:00",34,31093.34,1,4,4,"Lost"
12681.0,"2011-11-25 11:33:00",45,30868.28,1,4,4,"Lost"
14606.0,"2011-12-08 19:28:00",192,30861.06,1,4,4,"Lost"
17940.0,"2011-10-21 13:27:00",16,30393.19,2,4,4,"At risk"
13078.0,"2011-12-06 15:36:00",57,29532.45,1,4,4,"Lost"
13098.0,"2011-12-08 14:14:00",28,28882.44,1,4,4,"Lost"
17857.0,"2011-12-05 13:13:00",24,28682.24,1,4,4,"Lost"
14527.0,"2011-12-07 12:19:00",122,27792.30,1,4,4,"Lost"
15513.0,"2011-11-06 14:36:00",35,27750.55,2,4,4,"At risk"
16333.0,"2011-12-02 12:19:00",22,26626.80,1,4,4,"Lost"
17865.0,"2011-11-09 12:08:00",46,26374.39,2,4,4,"At risk"
18251.0,"2011-09-13 15:03:00",9,26278.86,2,4,4,"At risk"
13802.0,"2011-07-24 10:54:00",19,26259.11,3,4,4,"Loyal"
15498.0,"2011-12-07 12:48:00",44,26039.58,1,4,4,"Lost"
12731.0,"2011-11-16 11:59:00",17,25775.71,1,4,4,"Lost"
14062.0,"2011-11-30 10:04:00",24,25604.20,1,4,4,"Lost"
12744.0,"2011-10-19 11:18:00",11,25317.06,2,4,4,"At risk"
12939.0,"2011-10-06 14:33:00",20,25264.80,2,4,4,"At risk"
14895.0,"2011-12-02 09:23:00",38,25119.54,1,4,4,"Lost"
12621.0,"2011-12-08 11:25:00",35,24775.81,1,4,4,"Lost"
16525.0,"2011-12-07 15:07:00",48,24582.64,1,4,4,"Lost"
17920.0,"2011-12-05 14:29:00",54,24516.46,1,4,4,"Lost"
13001.0,"2011-12-05 14:51:00",33,24172.10,1,4,4,"Lost"
14607.0,"2011-11-24 10:35:00",22,24137.63,1,4,4,"Lost"
12682.0,"2011-12-06 10:00:00",52,24033.91,1,4,4,"Lost"
15640.0,"2011-12-05 14:35:00",29,23957.58,1,4,4,"Lost"
12482.0,"2010-05-12 16:51:00",29,23691.40,4,4,4,"Champion"
12409.0,"2011-09-22 10:38:00",7,23419.29,2,4,4,"At risk"
16133.0,"2011-12-06 11:24:00",56,22992.26,1,4,4,"Lost"
14063.0,"2010-09-27 16:18:00",9,22710.20,4,4,4,"Champion"
14051.0,"2011-12-09 10:20:00",37,22434.00,1,4,4,"Lost"
17340.0,"2011-11-10 10:45:00",18,22404.82,2,4,4,"At risk"
16839.0,"2011-12-01 09:03:00",44,22310.49,1,4,4,"Lost"
12540.0,"2011-11-20 11:31:00",33,22254.49,1,4,4,"Lost"
15159.0,"2011-12-08 12:05:00",34,22116.73,1,4,4,"Lost"
13340.0,"2011-10-25 13:15:00",12,22100.56,2,4,4,"At risk"
13319.0,"2011-12-04 13:34:00",58,22082.50,1,4,4,"Lost"
14667.0,"2011-11-29 11:30:00",54,21927.14,1,4,4,"Lost"
12753.0,"2011-11-17 10:52:00",6,21429.39,1,3,4,"Lost"
15615.0,"2011-11-29 14:42:00",47,21373.97,1,4,4,"Lost"
17243.0,"2011-12-08 13:26:00",69,20889.86,1,4,4,"Lost"
14866.0,"2011-11-29 11:45:00",19,20850.22,1,4,4,"Lost"
17706.0,"2011-12-05 13:34:00",31,20749.98,1,4,4,"Lost"
12433.0,"2011-12-09 10:02:00",10,20581.26,1,4,4,"Lost"
15251.0,"2011-11-30 15:02:00",21,20324.54,1,4,4,"Lost"
12477.0,"2011-11-17 09:51:00",9,20276.37,1,4,4,"Lost"
18008.0,"2011-09-30 15:17:00",23,19787.13,2,4,4,"At risk"
17139.0,"2011-11-24 10:12:00",25,19584.46,1,4,4,"Lost"
16843.0,"2011-10-28 09:06:00",35,19571.43,2,4,4,"At risk"
17581.0,"2011-12-09 12:21:00",43,18757.75,1,4,4,"Lost"
12557.0,"2011-11-23 16:59:00",8,18716.14,1,4,4,"Lost"
14194.0,"2011-12-05 10:38:00",36,18670.59,1,4,4,"Lost"
13113.0,"2011-12-09 12:49:00",37,18625.73,1,4,4,"Lost"
15808.0,"2011-02-06 14:33:00",21,18409.93,3,4,4,"Loyal"
17377.0,"2011-11-16 11:17:00",78,18319.41,1,4,4,"Lost"
12357.0,"2011-11-06 16:07:00",3,18287.66,2,2,4,"At risk"
16746.0,"2011-12-05 12:33:00",42,18066.40,1,4,4,"Lost"
12647.0,"2011-11-17 12:56:00",36,17924.35,1,4,4,"Lost"
12472.0,"2011-11-07 14:01:00",19,17880.59,2,4,4,"At risk"
15078.0,"2011-12-02 15:41:00",53,17761.88,1,4,4,"Lost"
